id,first_match,second_match,note
958_c,2,0,9
959_r,1,3,18
960_c,9,0,2
961_l,5,0,6
962_l,1,0,10
963_l,1,0,10
964_c,1,3,18
965_r,1,2,19
966_r,6,0,5
967_r,10,0,1
968_c,1,8,13
969_l,3,7,12
970_c,1,2,19
971_l,1,0,10
972_l,2,0,9
973_c,2,0,9
974_r,8,0,3
975_c,1,3,18
976_r,3,6,13
977_r,0,0,0
978_r,0,0,0
979_l,1,0,10
980_r,3,6,13
981_c,1,2,19
982_r,0,0,0
983_c,7,0,4
984_c,1,4,17
985_l,0,0,0
986_l,7,0,4
987_l,1,8,13
988_l,1,0,10
989_l,2,0,9
990_c,1,2,19
991_r,0,0,0
992_r,1,2,19
993_c,0,0,0
994_l,3,5,14
995_r,0,0,0
996_c,1,4,17
997_l,1,2,19
998_r,2,3,17
999_c,1,5,16
Conclusion,603,328,7794
